candidate_id,pmedian_selected,nearest_demand_count,nearest_demand_weight,selected_assigned_demand_count,selected_assigned_demand_weight
STOP_001,True,1,0.2348084520618434,3,0.7168242972934507
STOP_002,True,1,0.3438803231095902,1,0.3438803231095902
STOP_003,False,1,0.237732732404878,0,0.0
STOP_004,False,1,0.3612075292007861,0,0.0
STOP_005,True,1,0.1843942281999736,2,0.34406041133961995
STOP_006,False,1,0.2442831128267293,0,0.0
STOP_007,False,1,0.1596661831396464,0,0.0
STOP_008,False,1,0.3823683906398678,0,0.0
STOP_009,False,1,0.1773950567798586,0,0.0
STOP_010,False,1,0.1749005450301033,0,0.0
STOP_011,True,1,0.2791635342161945,2,0.4565585909960531
STOP_012,False,1,0.1657088746131034,0,0.0
STOP_013,True,1,0.7241436066691019,2,1.1065119973089697
STOP_014,True,1,0.6691235929379218,2,0.8440241379680251
STOP_015,True,1,0.6219353530026778,3,1.2127405007919283
STOP_016,False,1,0.425096273176147,0,0.0
STOP_017,True,1,0.5989194636825023,2,0.9601269928832883
STOP_018,True,1,0.6035189712527069,1,0.6035189712527069
STOP_019,False,1,0.2522699406972161,0,0.0
STOP_020,False,1,0.1776524389717032,0,0.0
STOP_021,True,1,0.3014791397540172,1,0.3014791397540172
STOP_022,True,1,0.3239462388721336,1,0.3239462388721336
STOP_023,True,1,0.2521892248197911,4,0.9213808519636748
STOP_024,False,1,0.2392692474749643,0,0.0
STOP_025,False,1,0.3689421094346924,0,0.0
STOP_026,False,1,0.1691692993774424,0,0.0
STOP_027,False,1,0.1350525795989759,0,0.0
STOP_028,True,1,0.3569699645018551,6,1.242534054074533
STOP_029,False,1,0.1741373236649834,0,0.0
STOP_030,True,1,0.427635894524934,1,0.427635894524934
STOP_031,False,1,0.0382627774965839,0,0.0
STOP_032,False,1,0.1721560755302285,0,0.0
STOP_033,False,1,0.177878347365112,0,0.0
STOP_034,False,1,0.2361222633647778,0,0.0
STOP_035,True,1,0.3844492292177665,3,0.734483652113107
STOP_036,True,1,0.2855426342489592,2,0.521664897613737
STOP_037,True,1,0.2153882863753108,2,0.39995628171360453
STOP_038,False,1,0.1845679953382937,0,0.0
STOP_039,True,1,0.2736624162646717,1,0.2736624162646717
STOP_040,False,1,0.1982114292636308,0,0.0
STOP_041,True,1,0.2458299890131952,1,0.2458299890131952
STOP_042,True,1,0.2201680810642683,2,0.4183795103278991
STOP_043,True,1,0.1712113485454523,1,0.1712113485454523
STOP_044,True,1,0.2822185553449144,1,0.2822185553449144
