candidate_id,candidate_name,latitude,longitude,district,mclp_selected,pmedian_selected,pmp_selected,selected_by_both,selected_model_count,mclp_covered_demand_weight,mclp_covered_demand_count,pmedian_assigned_demand_weight,pmedian_mean_assignment_distance_m,ahp_score,source_record_count,merge_method,merge_warning,mclp_coverage_norm,pmedian_distance_quality_norm,ahp_score_norm,preliminary_priority_score,priority_score,final_selected,selection_stage,rejection_reason,minimum_distance_to_selected_m,blocking_selected_stop_ids,conflict_group_id,final_selection_rank,decision_order
STOP_016,명륜동_4번_임시정류장,37.347679,127.947621,명륜동,False,False,False,False,0,0.0,0,0.0,,0.425096273176147,2,exact_id,,0.0,0.0,0.563995200370681,0.3133306668726005,0.2819976001853405,False,REJECTED_DISTANCE_CONFLICT,280.8m from an already-selected stop (min_stop_spacing_m=400m),280.76888439093915,STOP_015,8,,15
STOP_017,명륜동_5번_임시정류장,37.328753,127.947869,명륜동,True,True,True,True,2,0.9601269928832884,2,0.9601269928832884,120.57580382892084,0.5989194636825023,2,exact_id,,0.6928945276435028,0.7427650844957012,0.8174258010131635,0.8731609143715807,0.7958448229344225,True,SELECTED_GREEDY,greedy selection by descending priority_score,1077.4133347677766,,2,3.0,16
STOP_018,명륜동_6번_임시정류장,37.341765,127.948558,명륜동,True,True,True,True,2,0.6035189712527069,1,0.6035189712527069,0.0,0.6035189712527069,2,exact_id,,0.4355413352709164,1.0,0.8241317874973663,0.8768601786698516,0.7991741608028664,True,SELECTED_GREEDY,greedy selection by descending priority_score,415.12321954877183,,10,2.0,17
STOP_019,단계동_1번_임시정류장,37.349819,127.938994,단계동,True,False,False,False,1,0.5044591655170072,2,0.0,,0.2522699406972161,2,exact_id,,0.3640528782100718,0.0,0.3120179980228073,0.2542439718371311,0.228819574653418,True,SELECTED_GREEDY,greedy selection by descending priority_score,714.5194725536916,,11,20.0,18
STOP_020,단계동_2번_임시정류장,37.34717,127.931016,단계동,False,False,False,False,0,0.0,0,0.0,,0.1776524389717032,2,exact_id,,0.0,0.0,0.2032272306594225,0.1129040170330125,0.10161361532971125,False,REJECTED_TARGET_REACHED,target_stop_count reached,595.4691048387883,,12,,19
STOP_021,단계동_3번_임시정류장,37.353926,127.932777,단계동,True,True,True,True,2,0.3014791397540172,1,0.3014791397540172,0.0,0.3014791397540172,2,exact_id,,0.2175683505230042,1.0,0.3837639879437818,0.5837729600849909,0.5353956640764918,True,SELECTED_GREEDY,greedy selection by descending priority_score,714.5194725536916,,13,9.0,20
STOP_022,단계동_4번_임시정류장,37.337242,127.953744,단계동,True,True,True,True,2,0.3239462388721336,1,0.3239462388721336,0.0,0.3239462388721336,2,exact_id,,0.2337821744716653,1.0,0.4165205517118956,0.6055741230558677,0.5550167107502809,True,SELECTED_GREEDY,greedy selection by descending priority_score,537.0713012634886,,14,7.0,21
STOP_023,단계동_5번_임시정류장,37.346881,127.938174,단계동,False,True,True,False,1,0.0,0,0.9213808519636748,344.1466099478759,0.2521892248197911,2,exact_id,,0.0,0.2658019161403332,0.3119003159503657,0.2323450457813883,0.2091105412032495,False,REJECTED_DISTANCE_CONFLICT,334.6m from an already-selected stop (min_stop_spacing_m=400m),334.63534094793016,STOP_019,11,,22
STOP_024,단계동_6번_임시정류장,37.343617,127.936056,단계동,True,False,False,False,1,0.2392692474749643,1,0.0,,0.2392692474749643,2,exact_id,,0.1726733582511982,0.0,0.2930632573896036,0.2011847781611571,0.18106630034504145,True,SELECTED_GREEDY,greedy selection by descending priority_score,736.9133547847341,,15,21.0,23
STOP_025,무실동_1번_임시정류장,37.320093,127.930139,무실동,True,False,False,False,1,1.1074814744755572,5,0.0,,0.3689421094346924,2,exact_id,,0.7992357873683397,0.0,0.4821235962186858,0.4454543950922343,0.4009089555830109,True,SELECTED_GREEDY,greedy selection by descending priority_score,1579.5266582456243,,16,14.0,24
