candidate_id,candidate_name,latitude,longitude,district,mclp_selected,pmedian_selected,pmp_selected,selected_by_both,selected_model_count,mclp_covered_demand_weight,mclp_covered_demand_count,pmedian_assigned_demand_weight,pmedian_mean_assignment_distance_m,ahp_score,source_record_count,merge_method,merge_warning,mclp_coverage_norm,pmedian_distance_quality_norm,ahp_score_norm,preliminary_priority_score
STOP_001,단구동_1번_임시정류장,37.330009,127.962091,단구동,True,True,True,True,2,0.7168242972934507,3,0.7168242972934507,140.88687081949016,0.2348084520618434,2,exact_id,,0.5173103522326524,0.6994337075924681,0.28655951034873267,0.5295872968215449
STOP_002,단구동_2번_임시정류장,37.330421,127.969382,단구동,True,True,True,True,2,0.3438803231095902,1,0.3438803231095902,0.0,0.3438803231095902,2,exact_id,,0.2481679984138085,1.0,0.44558403240650285,0.624917350984459
STOP_003,단구동_3번_임시정류장,37.332498,127.960738,단구동,False,False,False,False,0,0.0,0,0.0,,0.237732732404878,2,exact_id,,0.0,,0.29082305033797917,0.16156836129887733
STOP_004,단구동_4번_임시정류장,37.326797,127.946691,단구동,False,False,False,False,0,0.0,0,0.0,,0.3612075292007861,2,exact_id,,0.0,,0.47084673892084045,0.26158152162268916
STOP_005,단구동_5번_임시정류장,37.321128,127.961899,단구동,False,True,True,False,1,0.0,0,0.3440604113396199,352.692609392833,0.1843942281999736,2,exact_id,,0.0,0.247569987550063,0.2130566192959354,0.17338034128664478
STOP_006,단구동_6번_임시정류장,37.32966,127.960793,단구동,False,False,False,False,0,0.0,0,0.0,,0.2442831128267293,2,exact_id,,0.0,,0.3003733689111838,0.16687409383954657
STOP_007,단구동_7번_임시정류장,37.32315,127.954338,단구동,False,False,False,False,0,0.0,0,0.0,,0.1596661831396464,2,exact_id,,0.0,,0.17700364331443674,0.09833535739690931
STOP_008,개운동_1번_임시정류장,37.340915,127.954218,개운동,False,False,False,False,0,0.0,0,0.0,,0.3823683906398678,2,exact_id,,0.0,,0.5016988352895511,0.2787215751608617
STOP_009,개운동_2번_임시정류장,37.345533,127.964512,개운동,False,False,False,False,0,0.0,0,0.0,,0.1773950567798586,2,exact_id,,0.0,,0.20285197277073783,0.11269554042818769
STOP_010,개운동_3번_임시정류장,37.359003,127.960336,개운동,False,False,False,False,0,0.0,0,0.0,,0.1749005450301033,2,exact_id,,0.0,,0.19921502646220082,0.11067501470122268
STOP_011,개운동_4번_임시정류장,37.343679,127.95978,개운동,False,True,True,False,1,0.0,0,0.4565585909960531,233.17526212503813,0.2791635342161945,2,exact_id,,0.0,0.5025468050328672,0.3512282986685102,0.30680390037869837
STOP_012,개운동_5번_임시정류장,37.346422,127.951757,개운동,True,False,False,False,1,1.212740500791928,3,0.0,,0.1657088746131034,2,exact_id,,0.875198033883955,,0.18581376194794225,0.29771831972306906
STOP_013,명륜동_1번_임시정류장,37.341627,127.956291,명륜동,True,True,True,True,2,1.3856755315251643,3,1.1065119973089697,99.81586834350692,0.7241436066691019,2,exact_id,,1.0,0.7870540718454523,1.0,1.052678682632323
STOP_014,명륜동_2번_임시정류장,37.351799,127.954826,명륜동,True,True,True,True,2,0.6691235929379218,1,0.8440241379680251,468.7380933204062,0.6691235929379218,2,exact_id,,0.48288620078427813,0.0,0.9197819630014166,0.7182980240639599
STOP_015,명륜동_3번_임시정류장,37.345468,127.949155,명륜동,False,True,True,False,1,0.0,0,1.2127405007919283,178.0216878453148,0.6219353530026778,2,exact_id,,0.0,0.6202107522683719,0.8509824894949557,0.6105926613346135
STOP_016,명륜동_4번_임시정류장,37.347679,127.947621,명륜동,False,False,False,False,0,0.0,0,0.0,,0.425096273176147,2,exact_id,,0.0,,0.563995200370681,0.3133306668726005
STOP_017,명륜동_5번_임시정류장,37.328753,127.947869,명륜동,True,True,True,True,2,0.9601269928832884,2,0.9601269928832884,120.57580382892084,0.5989194636825023,2,exact_id,,0.6928945276435028,0.7427650844957012,0.8174258010131635,0.8731609143715807
STOP_018,명륜동_6번_임시정류장,37.341765,127.948558,명륜동,True,True,True,True,2,0.6035189712527069,1,0.6035189712527069,0.0,0.6035189712527069,2,exact_id,,0.43554133527091643,1.0,0.8241317874973663,0.8768601786698516
